Ticker,run,hour,minute,intRank, perRank, lastPrice , currentPrice ,alertVal
TFSC,0,2,37,0,0.0,9.48,9.48,0
TFSCR,0,2,37,0,0.0,0.54,0.54,0
TFSCU,0,2,37,0,0.0,9.05,9.05,0
TFSCW,0,2,37,0,0.0,0.4,0.4,0
PIH,0,2,37,0,0.0,6.47,6.47,0
FLWS,0,2,37,0,0.0,9.53,9.53,0
FCCY,0,2,37,0,0.0,12.4501,12.4501,0
VNET,0,2,37,0,0.0,9.66,9.66,0
CAFD,0,2,37,0,0.0,16.41,16.41,0
EGHT,0,2,37,0,0.0,15.18,15.18,0
AVHI,0,2,37,0,0.0,12.65,12.65,0
ABEO,0,2,37,0,0.0,2.41,2.41,0
ABEOW,0,2,37,0,0.0,1.11,1.11,0
ABIL,0,2,37,0,0.0,4.64,4.64,0
AXAS,0,2,37,0,0.0,1.2,1.2,0
ACTG,0,2,37,0,0.0,4.61,4.61,0
ACST,0,2,37,0,0.0,1.47,1.47,0
AXDX,0,2,37,0,0.0,19.46,19.46,0
ANCX,0,2,37,0,0.0,21.39,21.39,0
ARAY,0,2,37,0,0.0,5.35,5.35,0
OILU,0,2,37,0,0.0,24.3,24.3,0
VXDN,0,2,37,0,0.0,15.55,15.55,0
VXUP,0,2,37,0,0.0,7.4753,7.4753,0
ACRX,0,2,37,0,0.0,2.99,2.99,0
ACET,0,2,37,0,0.0,25.21,25.21,0
AKAO,0,2,37,0,0.0,3.7,3.7,0
ACHN,0,2,37,0,0.0,8.79,8.79,0
ACIW,0,2,37,0,0.0,19.63,19.63,0
ACRS,0,2,37,0,0.0,20.22,20.22,0
ACTS,0,2,37,0,0.0,2.01,2.01,0
ACPW,0,2,37,0,0.0,0.33,0.33,0
ACTA,0,2,37,0,0.0,9.83,9.83,0
ACUR,0,2,37,0,0.0,2.12,2.12,0
ACXM,0,2,37,0,0.0,22.74,22.74,0
ADMS,0,2,37,0,0.0,15.18,15.18,0
ADMP,0,2,37,0,0.0,3.05,3.05,0
ADAP,0,2,37,0,0.0,7.8,7.8,0
ADUS,0,2,37,0,0.0,19.43,19.43,0
AEY,0,2,37,0,0.0,1.83,1.83,0
IOTS,0,2,37,0,0.0,3.81,3.81,0
ADMA,0,2,37,0,0.0,6.5,6.5,0
ADTN,0,2,37,0,0.0,18.0,18.0,0
ADRO,0,2,37,0,0.0,13.37,13.37,0
ADES,0,2,37,0,0.0,6.7,6.7,0
